0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,Glucose,Glucose,Glucose,Na_Gluconate,Na_Gluconate,Na_Gluconate,Na_Acetate,Na_Acetate,Na_Acetate,,
,Fructose,Fructose,Fructose,Mannose,Mannose,Mannose,Lactic_Acid,Lactic_Acid,Lactic_Acid,,
,Sucrose,Sucrose,Sucrose,Arabinose,Arabinose,Arabinose,Valeric_Acid,Valeric_Acid,Valeric_Acid,,
,D_Galactose,D_Galactose,D_Galactose,Mannitol,Mannitol,Mannitol,N_Acetyl_Gluco,N_Acetyl_Gluco,N_Acetyl_Gluco,,
,D_Xylose,D_Xylose,D_Xylose,Glycerol,Glycerol,Glycerol,Ethanol,Ethanol,Ethanol,,
,Blank,Blank,Blank,Propionic_Acid,Propionic_Acid,Propionic_Acid,Methanol,Methanol,Methanol,,
,,,,,,,,,,,
