0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,Glucose,Glucose,Glucose,Mannose,Mannose,Mannose,Na_Acetate,Na_Acetate,Na_Acetate,LB15,
,Fructose,Fructose,Fructose,Arabinose,Arabinose,Arabinose,Ethanol,Ethanol,Ethanol,LB15,
,D_Galactose,D_Galactose,D_Galactose,D-L-Malic_Acid,D-L-Malic_Acid,D-L-Malic_Acid,Na_Gluconate,Na_Gluconate,Na_Gluconate,LB15,
,D_Xylose,D_Xylose,D_Xylose,N_Acetyl_Gluco,N_Acetyl_Gluco,N_Acetyl_Gluco,Formic_Acid,Formic_Acid,Formic_Acid,LB15wash,
,Mannitol,Mannitol,Mannitol,Glycerol,Glycerol,Glycerol,Valeric_Acid,Valeric_Acid,Valeric_Acid,LB15wash,
,Blank,Blank,Blank,Lactic_Acid,Lactic_Acid,Lactic_Acid,Propionic_Acid,Propionic_Acid,Propionic_Acid,LB15wash,
,,,,,,,,,,,
